keyword,name,location,rating
Library,Prelinger Library,"{'lat': 37.7748333, 'lng': -122.4096716}",5
Library,Laurance S. Rockefeller Library,"{'lat': 37.7747156, 'lng': -122.4164386}",2
Library,San Francisco Law Library,"{'lat': 37.7795419, 'lng': -122.4134156}",4.8
Library,UC Law San Francisco Law Library,"{'lat': 37.7811659, 'lng': -122.4158445}",5
Library,SFPL Catalog & Tech Services,"{'lat': 37.775149, 'lng': -122.4135944}",0
Library,Eureka Valley/Harvey Milk Memorial Branch Library,"{'lat': 37.7641804, 'lng': -122.4319951}",4.5
Library,SFCM Music Library,"{'lat': 37.7754242, 'lng': -122.420291}",0
Library,Friends of the San Francisco Public Library,"{'lat': 37.7788976, 'lng': -122.4156692}",4.7
Library,Little Free Library,"{'lat': 37.7704785, 'lng': -122.4327815}",0
Logistics,Inari Logistics,"{'lat': 37.7704224, 'lng': -122.4240297}",0
Logistics,Bay Haul of Fame,"{'lat': 37.7815203, 'lng': -122.4086985}",4.9
Logistics,OnTrac Drop Box,"{'lat': 37.7823002, 'lng': -122.4209504}",1
Logistics,AJ Shipping LLC,"{'lat': 37.7771959, 'lng': -122.4173361}",0
Logistics,OnTrac Drop Box,"{'lat': 37.7700668, 'lng': -122.4252464}",0
Logistics,Fetch,"{'lat': 37.782207, 'lng': -122.4328126}",3.5
McDonald's,McDonald's,"{'lat': 37.7798713, 'lng': -122.4317172}",3.4
McDonald's,McDonald's,"{'lat': 37.76541510000001, 'lng': -122.4079489}",3.6
Middle-School,Everett Middle School,"{'lat': 37.763721, 'lng': -122.4288604}",2.9
Middle-School,Millennium School,"{'lat': 37.7817507, 'lng': -122.4237461}",5
Middle-School,Mission Dolores Academy,"{'lat': 37.7641912, 'lng': -122.4283947}",4.1
Middle-School,De Marillac Academy,"{'lat': 37.7818229, 'lng': -122.4133602}",4.1
Middle-School,San Francisco Friends School,"{'lat': 37.7690673, 'lng': -122.4227169}",4.5
Middle-School,Presidio Knolls School,"{'lat': 37.7731613, 'lng': -122.4135169}",4.4
Middle-School,Bessie Carmichael Elementary School,"{'lat': 37.7761264, 'lng': -122.4065104}",4.3
Middle-School,San Francisco Schoolhouse,"{'lat': 37.7749187, 'lng': -122.4301833}",0
Movie-Theater,Landmark's Opera Plaza Cinema,"{'lat': 37.7811784, 'lng': -122.4214426}",4.2
Movie-Theater,AMC Kabuki 8,"{'lat': 37.7849354, 'lng': -122.4325232}",4.1
Movie-Theater,Roxie Theater,"{'lat': 37.76462, 'lng': -122.422425}",4.6
Movie-Theater,Proxy Walk-In Theater,"{'lat': 37.7764861, 'lng': -122.4241392}",4.7
Movie-Theater,Market Street Theatre and Loft Historic District,"{'lat': 37.7814135, 'lng': -122.411987}",4.1
Movie-Theater,San Francisco Cinematheque,"{'lat': 37.7829241, 'lng': -122.4108362}",4
Movie-Theater,NEW PEOPLE,"{'lat': 37.785616, 'lng': -122.4306014}",4.6
Movie-Theater,Victoria Theatre,"{'lat': 37.7648472, 'lng': -122.4189444}",4.3
Museum,Tenderloin Museum,"{'lat': 37.7838761, 'lng': -122.4141613}",4.5
Museum,International Art Museum of America,"{'lat': 37.7816826, 'lng': -122.4107142}",4.4
Museum,Asian Art Museum,"{'lat': 37.7802772, 'lng': -122.4161605}",4.6
Museum,Pioneer Monument,"{'lat': 37.7797063, 'lng': -122.4159651}",3.7
Museum,Old Mission Dolores Museum,"{'lat': 37.7642002, 'lng': -122.4266329}",4.7
Museum,African American Art & Culture Complex,"{'lat': 37.7781195, 'lng': -122.4292341}",4.7
Museum,GLBT Historical Society Archives,"{'lat': 37.782316, 'lng': -122.4095922}",4
Newsstand,"Bay Area Reporter, America's longest continuously-published and highest circulation LGBTQ newspaper","{'lat': 37.772735, 'lng': -122.4211097}",5
Newsstand,San Francisco Chronicle,"{'lat': 37.7822008, 'lng': -122.4065207}",3.8
Newsstand,Books Inc.,"{'lat': 37.7816222, 'lng': -122.4209713}",4.6
Police,SFPD Tenderloin Station,"{'lat': 37.7838031, 'lng': -122.412926}",0
Police,SFPD Northern District Police Station,"{'lat': 37.78019, 'lng': -122.4324452}",0
Police,San Francisco Police Department; Licenses,"{'lat': 37.7798538, 'lng': -122.4190067}",0
Police,San Francisco Sheriff-Civil,"{'lat': 37.77678700000001, 'lng': -122.418101}",0
Police,San Francisco Sheriff's Department,"{'lat': 37.7798398, 'lng': -122.4188968}",0
Police,SF Sheriff's Dept.,"{'lat': 37.7685627, 'lng': -122.4161998}",0
Police,San Francisco County Sheriff,"{'lat': 37.7811335, 'lng': -122.4262036}",0
Police,S F Sheriff Department-Civil Division,"{'lat': 37.7793056, 'lng': -122.4189099}",0
Police,Department of Police Accountability,"{'lat': 37.7748606, 'lng': -122.4187694}",3
Police,Department of Homeland Security,"{'lat': 37.7821105, 'lng': -122.4183587}",2.3
Police,CCSF-Sheriffs Department,"{'lat': 37.7749865, 'lng': -122.4052681}",0
